(14474, -15, -3034, -7052) (630, 299, 1760)
(14477, -9, -3015, -7053) (607, 324, 1789)
(14480, -4, -2999, -7054) (608, 314, 1813)
(14484, 4, -2987, -7051) (606, 297, 1798)
(14488, 19, -2978, -7046) (597, 310, 1808)
(14493, 36, -2971, -7039) (602, 331, 1793)
(14498, 42, -2960, -7033) (587, 297, 1781)
(14504, 48, -2948, -7026) (591, 282, 1793)
(14512, 60, -2935, -7014) (598, 256, 1786)
(14520, 73, -2923, -7003) (574, 220, 1753)
(14526, 106, -2916, -6994) (536, 323, 1799)
(14533, 145, -2912, -6980) (593, 363, 1761)
(14538, 176, -2900, -6974) (525, 408, 1691)
(14552, 137, -2869, -6958) (571, 116, 1623)
(14563, 167, -2869, -6935) (755, 276, 1769)
(14572, 238, -2890, -6906) (614, 576, 1946)
(14572, 266, -2894, -6902) (416, 559, 1844)
(14586, 356, -2891, -6870) (365, 371, 1573)
(14618, 389, -2876, -6806) (455, 212, 1893)
(14639, 447, -2910, -6743) (747, 453, 2043)
(14639, 507, -2944, -6724) (572, 265, 1870)
(14635, 600, -2968, -6714) (272, 243, 1810)
(14637, 742, -3029, -6668) (612, 533, 1684)
(14635, 848, -3067, -6643) (613, 789, 1691)
(14636, 857, -3047, -6649) (409, 678, 1855)
(14640, 829, -3031, -6651) (528, 210, 1810)
(14644, 879, -3046, -6629) (536, 438, 1783)
(14648, 937, -3067, -6602) (568, 461, 1691)
(14649, 993, -3065, -6593) (464, 870, 1716)
(14657, 989, -3052, -6582) (574, 241, 1864)
(14656, 1060, -3077, -6560) (529, 732, 1749)
(14663, 1052, -3089, -6541) (636, 394, 1653)
(14662, 1071, -3080, -6544) (478, 547, 1796)
(14664, 1065, -3073, -6545) (534, 538, 1730)
pose Pose.WAVE_IN
(14666, 1077, -3068, -6539) (545, 463, 1779)
(14667, 1094, -3066, -6536) (489, 637, 1768)
(14667, 1100, -3064, -6535) (567, 462, 1780)
(14668, 1122, -3063, -6529) (501, 501, 1696)
(14669, 1149, -3064, -6522) (527, 593, 1761)
(14671, 1156, -3056, -6520) (506, 573, 1765)
(14674, 1154, -3050, -6517) (543, 497, 1775)
(14676, 1159, -3048, -6512) (530, 582, 1760)
(14679, 1164, -3050, -6504) (552, 522, 1733)
(14681, 1177, -3047, -6499) (514, 624, 1737)
(14685, 1166, -3037, -6496) (520, 518, 1781)
(14689, 1167, -3032, -6488) (512, 536, 1822)
(14693, 1166, -3033, -6480) (523, 506, 1751)
(14697, 1167, -3031, -6472) (503, 529, 1734)
(14700, 1164, -3028, -6466) (525, 546, 1778)
(14704, 1152, -3022, -6461) (510, 508, 1773)
(14708, 1147, -3022, -6455) (531, 506, 1767)
(14710, 1144, -3023, -6450) (523, 524, 1735)
(14710, 1145, -3023, -6451) (521, 529, 1752)
(14711, 1143, -3020, -6448) (498, 554, 1779)
(14713, 1140, -3022, -6444) (539, 506, 1755)
(14713, 1142, -3024, -6443) (494, 578, 1724)
(14713, 1132, -3028, -6442) (552, 495, 1716)
(14713, 1136, -3032, -6439) (534, 511, 1729)
(14713, 1137, -3032, -6439) (506, 559, 1699)
(14713, 1138, -3032, -6439) (525, 534, 1775)
(14713, 1136, -3035, -6438) (527, 535, 1744)
(14714, 1139, -3040, -6435) (531, 528, 1724)
(14713, 1142, -3046, -6433) (553, 538, 1723)
(14713, 1142, -3046, -6433) (523, 506, 1697)
(14713, 1143, -3046, -6433) (518, 531, 1724)
(14713, 1151, -3049, -6429) (528, 524, 1738)
(14713, 1161, -3050, -6426) (519, 568, 1766)
(14715, 1159, -3048, -6423) (529, 517, 1756)
